puzzle,solution,difficulty,id
.7....82...342.69..2...9...29...7.8....6.3..1........5...........65......5.....1.,679315824513428697428769153294157386785693241361842975132974568946581732857236419,easy,45b97b6d
...71....6.9.34.....5.....7..2...54..9..6..1......7.6....9.3.5..4.............4.8,238715694679834125415629387762381549894562713351497862187943256546278931923156478,very-easy,7f2a7be2
...5......8.97.1........6...95..3.2........4.7.3..4..5...7.......18....9..4..6..1,149568237386972154257431698495183726812657943763294815538719462621845379974326581,very-easy,ccdbec91
....8.2.9..6........5..1.4...8.35..77.......6.....84....42......8....13.....9..2.,143587269896342571275961843428635917751429386639178452564213798982756134317894625,very-easy,d7c2646f
...9..6....13....925.......1......9...2..4..1..8...5.6.7....4..3..89..7....5.....,783951642641372859259468137167285394592634781438719526975123468314896275826547913,medium,3f667cb9
6..3..4.2..5.......8..7....4....2.5.......6.....7.68....8.....9.7..6.3...31....4.,619358472745621938382974561496832157827415693153796824568243719274169385931587246,very-easy,d7a82205
..9.....4.7....8.....3....1.6..........98...71..6...5.7...61...9.2.5.6......4...2,819576324375412896426398571567134289234985167198627453783261945942753618651849732,unknown,4c9fd075
.....4..........8.7...32....145.7.....7.........8.9.43..19...6..3..2.8..5.....9..,169784532423195687785632419314567298897243156652819743271958364936421875548376921,easy,36810b54
.........2.7.....951.8.......4..1....3.72..6..6.....3..5......1..396...7....52...,398247516247516389516893724824631975931725468765489132452378691183964257679152843,unknown,fdb3e7d5
....8..24.2.....8.6.97......48.6...5.........3....94.8...654.1.7..1..............,135986724427315986689742531948261375576438192312579468893654217764123859251897643,very-easy,6148740c
...265..........3....7........6..82..96......4..8...1.2.84.37....7...6...3....1..,381265974672149538549738261713654829896321457425897316268413795157982643934576182,very-easy,a2022423
...........7..3.284..9........4.6..376.......8.2.1...5.....8..2...1..86...5...4..,358261974697543128421987356519426783764835291832719645946378512273154869185692437,unknown,32084418
.1...9.......62.........53...6..8.4..9..1...3.85...1...7.1..4...3......5.6.....8.,713459628859362714642871539126538947497216853385947162578123496931684275264795381,hard,48c29edc
......5..3.7...9..9.54.7........2.4....75.....1.....2..2.3....85...247.......8...,182693574347285916965417832856932147234751689719846325621379458598124763473568291,medium,cf28e06e
35.2..9....9...1....48.1...5...7..8........439........42....7.............59.3..2,351246978869735124274891356532174689617589243948362517423658791196427835785913462,hard,aa368def
.75.....1.....7.....84...6..8..29.57...1...........9..1........46.35........1.42.,975268341641537298238491765384629157592173684716845932123984576467352819859716423,very-easy,d006cd90
...6..1....4........5983....7..4....6........59.1...8....85........26..4..2....56,829674135364215798715983642271548963648739521593162487436851279957326814182497356,unknown,dfc21ba5
.1..5.........6..8.3....7.1...5..64.7.94.......2.8...............826..5....8.1.6.,817352496924176538536948721381527649769413285452689173643795812198264357275831964,easy,ac809335
.76.514....3...8.......6...........71....5....52....9...48..1..7...1...9....2...3,876951432593742861241386975489263517167495328352178694924837156735614289618529743,unknown,a556d4c7
..2.1....79..8..2.8.5...9.....9..6....8.32...1....7...9.....7.3...5......5..2....,632419578794385126815276934273948615568132497149657382921864753487593261356721849,medium,c1063bcb
.....8.1...472.3...3....6..2.......57.6.9...25.............68.7....7.1...6...1...,975638214614729358832514679291843765786195432543267981129356847358472196467981523,very-easy,c20273f3
4.35.71..........7.89...4....72...........93....1.....3.....67.........8.56.82...,423597186561348297789621453947253861612874935835169724398415672274936518156782349,hard,33bbf992
.95..1....3..572..2......8....4....9.7....85..2..3..7..........4....6..1.5..1....,895241763136857294247693185568472319374169852921538476612385947489726531753914628,very-easy,0614f851
2.3.7...8...6...3.....8....9.....2...45...7.......1..91..2.864......4.....7....8.,263475198784619532591382476916837254845926713372541869139258647658794321427163985,very-easy,be494e05
9.....8425......9..6..3........2.4..........31..56........49.1.4....27....2.8....,913675842547218396268934175639827451875491623124563987356749218481352769792186534,medium,73cdb7c9
.3.9...1..8...........74..3...61.5......25..49......8.....4.6.2....5..3.61.......,736982415584361279291574863843619527167825394952437186379148652428756931615293748,hard,61e3ca29
...9......1...8..2.73.6...5..6.5.....8..34....9.....1.5..4...6...1.....8....9.4..,652943187419578632873261945236159874185734296794682513528417369941326758367895421,unknown,5e151783
..9...1.5...24........3.6..1.4.2.....87.........9..37..21.....9.3.7...6.....8....,249876135613245897758139642194327586387654921562918374821463759435791268976582413,very-easy,d7c4e8e0
.....4...1.....8.....6..3.9....4...7.75..9.1.3....1.....3...62.....92.7.5.8......,936284751154973862287615349812546937475839216369721485793158624641392578528467193,unknown,1acc5e7f
3..18..2.8...49..7......3....2.5.1...8.......4..7...5...1..624..............2...6,367185429825349617194672385672954138589213764413768952751896243246537891938421576,unknown,b5874529
..1....3......4..9..3.2.17.7..53.......7..6..68......7....4......6...2.583.......,541967832278314569963825174714536928359782641682491357125648793496173285837259416,very-easy,4dd3d6b6
7.....52...1.52..3.8..6..........3.6........943.....7.1..3.6..4..9.4..5..........,763489521941752863582163947895274316217635489436918275158326794379841652624597138,easy,5c1a3eb0
..4........9...1..8.3.1..7....4..3.62......8..5.7.....9..6....7.....8...7...3..21,614897235579243168823516974197482356246351789358769412931625847462178593785934621,medium,5ecebed8
.......17.32.4....5..........8...3..15.9.4.2.7......6.6.......5.9..52...8....1...,486523917932147856571896432268715349153964728749238561614389275397652184825471693,easy,a441b196
...8...2.4.1....9...3.29.6.....5...66.....541.3............3....8.6........1..8.7,956871423421365798873429165218954376697238541534716982742583619185697234369142857,unknown,2fb3b598
.8.....7....1...6.7.3........49..6...3....2.....582..........1...5..49.3..7.3.4..,681349572492157368753628149274913685538476291169582734346295817815764923927831456,unknown,0a1550f0
.6.84..2..58.........165...7.............386.....2.4....4.8...7......3....72....5,369847521158932746472165938743698152215473869986521473594386217621759384837214695,unknown,daa66d8a
..4.9.8...7.5...36..3..14.......8..1.5........9.....7.....5....38......4...72...9,614397825978542136523681497432978561751236948896415372269854713387169254145723689,hard,29afa9d3
7.9...1....8.3.......7...4.9.....43...5..8.69.....1...............9.785.2..1...93,739864125418532976526719348982675431175348269643291587897453612361927854254186793,hard,8ffd50e9
...6.8.4.......1.3.....9..243..5...6.....6..7..92...8..2.....9.....4.....15..3..8,253618749897524163146379852432857916581496237679231584324785691968142375715963428,easy,3c17b670
..49...6......5....1..6.8.37.......41.5.7...6....8.2..4.......7.6.......3.9..8..2,834912765976835421512467893728396154195274386643581279481629537267153948359748612,hard,e5697fa4
..19.6.8.....4.36...8..5..9..4......9.....75.....1.........9..8..3...4.7.6.4.2...,351976284279148365648325179514297836932864751786513942425739618893651427167482593,unknown,8b1cf32b
1.7.........5..29....8....6..893..........3...4..6.1.5.2....6.37...1.......6..71.,157296834864573291293841576518932467672154389349768125921487653786315942435629718,very-easy,32652e1b
.859...733.7.....2...1..6..87...1....9..........3.42......5.7....2.4..5......9...,185926473367485912429137685873291564294568137651374298936852741712643859548719326,very-easy,f0fe7850
.53..........1....7.6....9..8.4..91........2..2.5....3.35.7......8.6247....1.....,253849167849617352716235894587423916364791528921586743635974281198362475472158639,unknown,304fdfdb
...5....7......2....836......9.....12......9..4..718..62....3...3.29....4.....1.8,362514987154789263978362415789423651213856794546971832625148379831297546497635128,medium,e2f63a07
..8.4..9......7..5.2.63....15.268....4.1....2.........2.6.....17.....8.....49....,378542196469817325521639748153268974947153682682974513296785431714326859835491267,unknown,463211b5
.........65.1.87.912.9.3...7............51.2...4..9..6..6...8.........17.....6.9.,489675231653128749127943568712364985968751324534289176296417853345892617871536492,very-easy,ea0b485f
...39.......6.8..4......5.6..5.4..2....7..4...6..85.7.3...2......1...73.8...7....,658394217217658394943217586735946821189732465462185973374821659521469738896573142,very-easy,85c99929
.....82.45.3...7..4......3...4..1......7.51....2.....3.7...9......1...8...942..7.,167358294593642718428917635954231867836795142712864953371589426245176389689423571,unknown,9b073507
...7.9..6....5..1836..8..7.48..9.........2.........7.1.....4.3...261.......2..9..,814729356279356418365481279481597623793162584526843791658974132932615847147238965,easy,ed310b9b
....13....6.4...2.3....28..9.......2.4..5......5.9...16.4...51.........7...7..2.8,428613975567489123319572864986134752241857396735296481674328519852941637193765248,medium,883f1a7f
......6..3.2..4.7......61.2.8.5.9..65.6....9....3.........5...943.....1.8.....7..,741295683362184975958736142183579426576842391294361857617458239439627518825913764,hard,de58df0e
....9.1.....5..4.7..7..3..2......3.......1.2637............2.1.85.94.....4..6.9..,526794138138526497497813652614275389985431726372689541769352814851947263243168975,unknown,575cb54d
...1...4.8..3....6..4....1..8..4....7.1...295........1......62....6.79...39.2....,576182349812394576394765812985241763741836295263579481457913628128657934639428157,easy,a0d436db
....61.7.9............2....17.....8.4.3.....5..28....9.....73.2..7.92..4.1.4.....,345961278921378546768524931179256483483719625652843719594187362837692154216435897,unknown,032a2330
.....7....8.6.1.5..13...8..3...9.18...6.5.....21.........5.....75.8..9.......6..2,549387621287641359613925874375294186496158237821763495162539748754812963938476512,very-easy,f75b1593
93..1....8....4.........34..2.....54.4...7.92..9......1..........69..8....78.5.3.,934218576865374219712659348628193754341587692579426183183742965456931827297865431,easy,c9fdadd0
19..7.....25........689.3..2..94..............1...7.9...3.1.6..7.....4.8....2..5.,198273564325461789476895321287946135639152847514387296943518672752639418861724953,unknown,89de59ef
8.........3...7..9.2..1......8..941..4.....3.6..4..7...542.......169.........3.2.,897532146136847259425916387578369412942781635613425798354278961281694573769153824,unknown,94d80b1d
.2.3.8...3....6.8..7..5.92.....29..5..6......4.....7..1..5......5.41.........3..7,524398671319276584678154923731829465296745318485631792163587249957412836842963157,easy,ec333721
